"<span class=""noQuotes"">Excellent hotel with a wide range of facilities</span>","<span class=""noQuotes"">Service attitude of restaurant staff</span>","<span class=""noQuotes"">Enjoyed a lot</span>","<span class=""noQuotes"">Pleasure to be there with their service...</span>","<span class=""noQuotes"">Business 2017</span>"
-0.02
0.08
